titulo,autores,revista
“Como se le habla a un hermano”: la solidaridad hacia Cuba y Vietnam en la Nueva Canción Chilena (1967-1973),"E Karmy, NA Schmiedecke","Secuencia, 2020"
Músicos como trabajadores. Estudio de caso de la Sociedad Musical de Socorros Mutuos de Valparaíso,"E Karmy, C Molina","Resonancias 22 (42), 53-78, 2018"
Identidades nacionales ¿folclor o folclorismo?,E Karmy,"XXVII Congreso de la Asociación Latinoamericana de Sociología. VIII Jornadas …, 2009"
La Representación Social sobre Policía de Investigaciones de Chile,"D Ahués, E Karmy","Informe Final Práctica Profesional de Sociología, Universidad Alberto …, 2005"
La Cantata Popular Santa María de Iquique: representaciones del obrero pampino y del hombre nuevo,E Karmy,"Palimpsestos sonoros: reflexiones sobre la Nueva Canción Chilena. Colección …, 2014"
"Himnos cumbiancheros: repensando mitos y paradojas de lo nacional, lo local y lo festivo en Chile","A Mardones, E Karmy, L Ardito, A Vragas","Enfoques interdisciplinarios sobre músicas populares en Latinoamérica …, 2013"
Música en tiempos de crisis: precariedades del trabajo artístico y resurgimiento del apoyo mutuo en Chile,"E Karmy, E Urqueta","Comunicación y Medios 30 (44), 93-105, 2021"
Tango viajero: Orquestas típicas en Valparaíso (1950-1973),"E Karmy, C Molina","Mago Editores, 2012"
Los albores de la cumbia chilena,"A Vargas, A Mardones, E Karmy, L Ardito","Actas del I Congreso Chileno de Estudios en Música Popular “¿ Qué hay de …, 2011"
Pablo Garrido y su defensa de los derechos laborales de los músicos en Chile (1932-1940),E Karmy,"Revista Musical Chilena 75 (236), 98-118, 2021"
Desde las epistemologías feministas a los feminismos decoloniales: Aportes a los estudios sobre migraciones,"MT Cristoffanini, PC Hernández","Athenea digital 17 (1), 145-162, 2017"
Desde las epistemologías feministas a los feminismos decoloniales: Aportes a los estudios sobre migraciones,"MT Cristoffanini, PC Hernández","Athenea digital 17 (1), 145-162, 2017"
Desde las epistemologías feministas a los feminismos decoloniales: Aportes a los estudios sobre migraciones,"MT Cristoffanini, PC Hernández","Athenea digital 17 (1), 145-162, 2017"
Coeducación para la equidad: a propósito del corpus curricular de la educación chilena: análisis desde una perspectiva de género,"P Contreras Hernández, M Trujillo Cristoffanini","Universidad de León, 2018"
Maternidad y prostitución¿ contradictorias y excluyentes?,MT Cristoffanini,"Revista Estudos Feministas 25, 167-185, 2017"
Misoginia y violencia hacia las mujeres: dimensiones simbólicas del género y del patriarcado,M TRUJILLO CRISTOFFANINI,"Atenea (Concepción), 49-64, 2019"
MISOGINIA Y VIOLENCIA HACIA LAS MUJERES: DIMENSIONES SIMBÓLICAS DEL GÉNERO Y DEL PATRIARCADO,M Trujillo Cristoffanini,"Atenea, 49-64, 2019"
Acoso sexual como violencia de género voces y experiencias de universitarias chilenas,"K Ramirez Raunigg, M Trujillo Cristoffanini","Cuestiones de género de la igualdad y la diferencia (Revista del Seminario …, 2019"
Monomarentalidad e imaginarios de género en contexto migratorio: Punto de vista epistemológico feminista en el estudio de las migraciones,"M Trujillo Cristofanini, E Almeda","Empiria. Revista de Metodología de las Ciencias Sociales, 2017, num. 37, p …, 2017"
Epistemologías feministas y estudios de género: Reflexiones desde el trabajo de campo Feminist epistemologies and gender studies: Thoughts from fieldwork practice pp. 5-18,M Trujillo,"Revista F@ ro 1 (25), 2017"
Violencia de género en estudiantes universitarias: Un reto para la educación superior,"M Trujillo Cristoffanini, I Pastor-Gosálbez","Psicoperspectivas 20 (1), 83-94, 2021"
Cuestionando imaginarios sexistas a través de prácticas pedagógicas transformadoras,"M Trujillo-Cristoffanini, P Contreras-Hernández","Izquierdas 50, 0-0, 2021"
Acoso sexual como violencia de género: voces y experiencias de universitarias chilenas,"KR Raunigg, MT Cristoffanini","Cuestiones de género: de la igualdad y la diferencia, 221-240, 2019"
Desde el conocimiento situado hacia el feminismo decolonial. Nuevas perspectivas de análisis para el estudio de la monomarentalidad e inmigración latinoamericana.,"MT Cristofanini, PR Vargas, EA Samaranch","OXÍMORA Revista Internacional de Ética y Política, 48-62, 2015"
"Violencia de género: prevalencia, imaginarios sexistas, y mitos en la juventud universitaria","M Trujillo Cristoffanini, P Contreras Hernández","Apuntes 48 (88), 35-55, 2021"
La violencia contra las mujeres desde las ciencias sociales: Análisis crítico y propuestas para su comprensión,"MT Cristoffanini, PA Carrasco, CMA Hernández, NA Baro, FA Lozano, ...","Tecnos, 2021"
Educação superior chileno e violência de gênero: demandas do feminismo universitário,"C Dinamarca-Noack, M Trujillo-Cristoffanini","Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud 19 (2), 191-212, 2021"
Chilean higher education and gender-based violence: demands from expressions of feminism in universities,"C Dinamarca-Noack, M Trujillo-Cristoffanini","Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud 19 (2), 191-212, 2021"
"Covid-19, gènere i acadèmia. Un estat de la qüestió sobre els efectes de la pandèmia en el treball de les dones acadèmiques i científiques","I Pastor, CC López, MT Cristoffanini","Managing the future: Challenges and Proposals for Post-pandemic Society, 448-458, 2021"
CAPÍTULO III. La violencia contra las mujeres en las relaciones de pareja: hechos y marcos de interpretación sociológicos.,"I Pastor, MT Cristoffanini, AB Eraso","La violencia contra las mujeres desde las ciencias sociales: Análisis …, 2021"
La acreditación de la gestión institucional en universidades chilenas,"MJ Rojas Ríos, DA López Stefoni","Revista electrónica de investigación educativa 18 (2), 180-190, 2016"
Chilean universities and institutional quality assurance processes,"DA López, MJ Rojas, BA López, DC López","Quality Assurance in Education, 2015"
Desarrollo de habilidades básicas en lenguaje y matemáticas en egresados de Pedagogía. Un estudio comparativo.,"T Larrondo, M Lara, C Figueroa, MJ Rojas, A Caro","Calidad en la Educación, 150-176, 2007"
Quality assurance and the classification of universities: the case of Chile,"DA López, MJ Rojas, BA López, Ó Espinoza","Quality assurance in education 28 (1), 33-48, 2019"
"Risk eating behaviors and tobacco, alcohol and marijuana consumption by gender among chilean university students","C Hidalgo-Rasmussen, K Franco, FJ Díaz Reséndiz, MJ Rojas, F Vilugrón","Revista mexicana de trastornos alimentarios 6 (1), 30-37, 2015"
Desarrollo de habilidades básicas en lenguaje y matemáticas en egresados de pedagogía,"T Larrondo, M Lara, C Figueroa, M Rojas, A Caro","Un estudio comparativo, 2007"
¿ Existe aprendizaje institucional en la acreditación de universidades chilenas?,"DA López, MJ Rojas, MC Rivas","Avaliação: Revista da Avaliação da Educação Superior (Campinas) 23, 391-404, 2018"
El Aseguramiento de la Calidad de la Educación Superior en Chile: Avances y Desafíos en la Docencia de Pregrado,"ÓE Díaz, MJ Rojas, A Minte","Calidad de la Educación Superior en Iberoamérica., 42, 2018"
Responsabilidad Social Universitaria: Aportes recientes al desarrollo de las empresas de menor tamaño en Chile,"A Vega, MJ Rojas, G Salazar","Revista Venezolana de Gerencia, 328-345, 2018"
"Comportamientos alimentarios de riesgo y consumo de tabaco, alcohol y marihuana según género en estudiantes universitarios chilenos","C Hidalgo-Rasmussen, K Franco, FJ Díaz Reséndiz, MJ Rojas, F Vilugrón","Revista mexicana de trastornos alimentarios 6 (1), 30-37, 2015"
La gestión estratégica en I+ D+ i desde un enfoque casuístico y metodológico,MJ Rojas,"Opción: Revista de Ciencias Humanas y Sociales, 103-129, 2018"
Cross-cultural adaptation and validation to Chilean youth people of Brief Resilience Scale (BRS),"CA Hidalgo-Rasmussen, YV Chávez-Flores, MJ Rojas, F Vilugrón","Anales de Psicología 37 (2), 243-252, 2021"
Accreditation of Institutional Management in Chilean Universities,"MJ Rojas Ríos, DA López Stefoni","Revista electrónica de investigación educativa 18 (2), 180-190, 2016"
External evaluation of university quality in Chile: an overview,"DA López, O Espinoza, MJ Rojas, M Crovetto","Quality Assurance in Education, 2022"
Propiedades psicométricas de la versión chilena del Whoqol-Bref para la calidad de vida,"CA Hidalgo-Rasmussen, G Morales, MS Ortiz, MJ Rojas, ...","Psicología Conductual 29 (2), 383-398, 2021"
Adaptación transcultural y validación de la Brief Resilience Scale (BRS) para jóvenes chilenos,"CA Hidalgo-Rasmussen, YV Chávez-Flores, JR María, F Vilugrón","Anales de Psicología/Annals of Psychology 37 (2), 243-252, 2021"
Psychometric properties of the Chilean version of the WHOQOL-BREF for quality of life,"CA Hidalgo-Rasmussen, G Morales, MS Ortiz, MJ Rojas, ...","BEHAVIORAL PSYCHOLOGY-PSICOLOGIA CONDUCTUAL 29 (2), 383-398, 2021"
Is there organizational learning in the Chilean Universities accreditation?,"DA López, MJ Rojas, MC Rivas","Avaliação: Revista da Avaliação da Educação Superior (Campinas) 23, 391-404, 2018"
Capítulo iii El aseguramiento de la calidad de las uni-versidades en chile: diversidad institucio-nal y áreas de acreditación,"DA López, MJ Rojas, MC Rivas","CALIDAD EN, 129, 0"
Inclusión y violencia: prevalencia de victimización entre pares en estudiantes que participan en programas de integración escolar,"B Villalobos, C Carrasco, V López, MÁ Bilbao, M Morales, S Ortiz, ...","Facultad de Ciencias de la Educación de la Universidad Central de Chile, 2017"
Políticas de convivencia escolar en tiempos de rendición de cuentas,"P Ascorra, CC Aguilar, V López, M Morales","Education Policy Analysis Archives 27, 31-31, 2019"
La práctica de la investigación educativa desde la psicología: Intereses implícitos y finalidad social,CC Aguilar,"Revista de Psicología 19 (1), ág. 154-178, 2010"
Violencia escolar a profesores: Conductas de victimización reportadas por docentes de enseñanza básica,"M Morales, JPÁ González, ÁA del Castillo, PA Costa, MÁB Ramírez, ...","Revista de Estudios Cotidianos 2 (2), 91-116, 2014"
"Inmigración, infancia e integración socioeducativa: un estudio etnográfico sobre niños palestinos en Chile","CC Aguilar, M Molina, MJ Baltar","Revista chilena de Antropología, 2013"
Significados asociados a la participación en juicios orales en niños y niñas víctimas de delitos sexuales,"DO Núñez, V Arredondo, CC Aguilar, CG Vio","Praxis: revista de psicología, 61-82, 2015"
El trabajo interdisciplinario entre psicólogos y profesores: estudio cualitativo sobre los significados de asesores técnicos en educación respecto de su experiencia como equipo …,"MJB De Andrade, CC Aguilar, DJ Bofill, CV Fernández, NT Rojas","Revista de psicología 21 (2), ág. 187-213, 2012"
Violencia de reglamento: análisis de los reglamentos de convivencia escolar en dos escuelas con alto nivel de violencia reportada de estudiantes a profesores de la Región de …,"CC Aguilar, JPÁ González, D Asún, MJB de Andrade, CB Raggi, ...","Revista de Estudios Cotidianos 2 (2), 117-137, 2014"
Sujeto/a trabajador/a en la política pública de intervención psicosocial de infancia en Chile: un análisis crítico del discurso,"J Pavez, CC Aguilar, MT Peña, MÁB Ramírez, X Oriol, H Ortúzar, A Rubio, ...","Revista de Estudios Cotidianos 4 (1), 23-45, 2016"
Policies for school climate in an era of accountability,"P Ascorra, C Carrasco, V López, M Morales","Education Policy Analysis Archives 5 (6), 1-25, 2019"
Identidad profesional docente en las políticas educativas de rendición de cuentas en Chile,CL Carrasco Aguilar,"Universidad de Granada, 2018"
Representaciones sociales acerca del impacto medioambiental de las empresas termoeléctricas en la bahía de Quintero-Puchuncaví,"CC Aguilar, PM Bierschwale, JS Fuentes","Summa Psicológica UST 12 (1), 89-101, 2015"
"& Parada, B.(2014). Violencia escolar a profesores: Conductas de victimización reportadas por docentes de Enseñanza Básica","M Pinochet, J Álvarez, Á Del Castillo, P Costa, M Bilbao, C Aguilar","Revista Estudios Cotidianos 2 (2), 91-116, 0"
Estrategias discursivas de profesores con respecto a la educación municipal,"CC Aguilar, MJB de Andrade, SO Mallegas","Revista INTEREDU 2 (6), 71-95, 2016"
El lugar del barrio en los discursos de escuelas municipales de Playa Ancha,"CC Aguilar, C Zamora, ÁC Muñoz","Revista de Estudios Cotidianos 3 (2), 312-337, 2015"
Identidad profesional de una psicóloga educacional: un estudio de caso en Chile,"CC Aguilar, MJB de Andrade, N Bastidas, JL de Aréchaga, M Morales, ...","Pensando Psicología 15 (25), 1-27, 2019"
Qualitative evaluation of a system for monitoring school climate,"CC Aguilar, V López, P Ascorra, M Bilbao, S Olmos","Psicologia Escolar e Educacional 22, 239-247, 2018"
Evaluación Cualitativa de un Sistema de Monitoreo de la Convivencia Escolar,"CC Aguilar, V López, P Ascorra, M Bilbao, S Olmos","Psicologia Escolar e Educacional 22, 239-247, 2018"
Desafíos de los equipos de convivencia escolar: un estudio de educación comparada,CC Aguilar,"La Convivencia Escolar: Un Acercamiento Multidisciplinar. Volumen III, 145, 2018"
¿ Cómo entendemos en Chile una buena convivencia?,"MB Ramírez, PA Costa, CC Aguilar, VL Leiva",
"Cutaneous myiasis by Cochliomyia hominivorax (Coquerel)(Diptera Calliphoridae) in Hospital Universidad del Norte, Soledad, Atlántico","N de la Ossa, LE Castro, L Visbal, AM Santos, E Díaz, ...","Biomédica 29 (1), 12-17, 2009"
"Imaginarios y chilenización: los agentes fiscales chilenos y su visión del espacio y la población andina de la provincia de Tarapacá, norte de Chile 1880-1918",LC Castro,"Anuario de Estudios Americanos 71 (2), 661-690, 2014"
"Los ariqueños, el desarrollo regional y las propuestas del Comité Pro-Resurgimiento de Arica, 1932",LC Castro,"Diálogo Andino-Revista de Historia, Geografía y Cultura Andina, 77-99, 2005"
La expedición de antonio raimondi a la provincia de tarapacá y la construcción estatal de un territorio nacional peruano: comentarios y transcripción de su cuaderno de campo …,"L Castro Castro, P Guerrero Oñate, C Figueroa Cerna","Estudios atacameños, 111-152, 2017"
